sp_code,taxon_phylum,taxon_class,taxon_order,taxon_family,taxon_genus,group,mobility,growth_morph,scientific_name,growth_form,gf_code,pigment_type,height_class,life_habit,longevity,thallus_length,blade_length,exposure_tolerance,photosynthetic_pigment,depth_range,dispersal_mechanism,reproductive_season,reproductive_cycle,spore_diameter_microm,spore_density_gcc,notes,growth_form_source,height_class_source,life_habit_source,longevity_source,thallus_length_source,blade_length_source,exposure_tolerance_source,photosynthetic_pigment_source,depth_range_source,dispersal_mechanism_source,reproductive_season_source,reproductive_cycle_source,spore_diameter_microm_source,spore_density_gcc_source
AMZO,Rhodophyta,Florideophyceae,Corallinales,Lithophyllaceae,Amphiroa,algae,sessile,aggregated,Amphiroa beauvoisii,articulated_calcareous,AC,red,turf,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
AU,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,algae,sessile,aggregated,Acrosorium ciliolatum,corticated_foliose,CF,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
BF,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,algae,sessile,aggregated,Cryptopleura ruprechtiana,corticated_macrophytes,CM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
BLD,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,-99999,algae,sessile,solitary,Unidentifiable juvenile kelp,leathery_macrophyte,LM,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
BO,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Bossiella,algae,sessile,aggregated,Bossiella orbigniana,articulated_calcareous,AC,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
BPSE,Rhodophyta,Florideophyceae,Rhodymeniales,Rhodomelaceae,Botryocladia,algae,sessile,solitary,Botryocladia pseudodichotoma,cushion,C,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
BR,Rhodophyta,Florideophyceae,-99999,-99999,-99999,algae,sessile,aggregated,Halymenia spp.; Schizymenia pacifica,corticated_foliose,CF,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
BRA,Rhodophyta,-99999,-99999,-99999,-99999,algae,sessile,aggregated,Unidentifiable Branching Red Alga,unc_red,UR,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
CAL,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Calliarthron,algae,sessile,aggregated,Calliarthron cheilosporioides,articulated_calcareous,AC,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
CC,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,algae,sessile,solitary,Chondracanthus corymbiferus; Chondracanthus exasperatus,leathery_macrophyte,LM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
CF,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,algae,sessile,solitary,Callophyllis flabellulata,corticated_macrophytes,CM,red,,,,,,,,,,,,17.3,1.102,,Steneck and Dethier 1994,,,,,,,,,,,,Coon et al. ,Coon et al. 
CG,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,algae,sessile,solitary,Cladophora graminea,filamentous_algae,FA,green,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
CO,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,algae,sessile,solitary,Corallina officinalis,articulated_calcareous,AC,red,,,,11 - 20 cm,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
COF,Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,algae,sessile,solitary,Codium fragile,corticated_foliose,CF,green,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
CP,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Colpomenia,algae,sessile,solitary,Colpomenia peregrina,cushion,C,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
CRYP,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,algae,sessile,solitary,Cryptopleura spp.,corticated_foliose,CF,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
CYOS,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Stephanocystis,algae,sessile,solitary,Stephanocystis osmundacea,leathery_macrophyte,LM,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
CZ,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,algae,sessile,solitary,Chondracanthus spinosus,corticated_macrophytes,CM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
DL,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,algae,sessile,solitary,Desmarestia ligulata,corticated_macrophytes,CM,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
DP,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota,algae,sessile,solitary,Dictyota binghamiae; Dictyota flabellata; Dictyota coriacea,corticated_foliose,CF,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
DU,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyopteris,algae,sessile,solitary,Dictyopteris undulata,corticated_foliose,CF,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
EA,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,algae,sessile,solitary,Eisenia arborea,leathery_macrophyte,LM,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
EC,Rhodophyta,Florideophyceae,Corallinales,-99999,-99999,algae,sessile,aggregated,crustose coralline algae spp.,unc_red,UR,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
EGME,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,algae,sessile,solitary,Egregia menziesii,leathery_macrophyte,LM,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
ER,Rhodophyta,Florideophyceae,Hildenbrandiales,Hildenbrandiaceae,Hildenbrandia,algae,sessile,solitary,Hildenbrandia spp.,unc_red,UR,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
FASP,Rhodophyta,Florideophyceae,Rhodymeniales,Faucheaceae,Gloiocladia,algae,sessile,solitary,Gloiocladia fryeana,corticated_foliose,CF,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
FB,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,-99999,algae,sessile,aggregated,Ectocarpaceae spp.,filamentous_algae,FA,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
FG,Chlorophyta,Ulvophyceae,-99999,-99999,-99999,algae,sessile,solitary,Ulva spp.; Sponogomorpha spp.,foliose,F,green,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
FR,Rhodophyta,-99999,-99999,-99999,-99999,algae,sessile,aggregated,Rhodophyta,unc_red,UR,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
FTHR,Rhodophyta,Florideophyceae,Ceramiales,-99999,-99999,algae,sessile,solitary,Neoptilota spp.; Ptilota spp.; Rhodoptilum spp.,unc_red,UR,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
GR,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,algae,sessile,aggregated,Gelidium spp.,corticated_macrophytes,CM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
GS,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,algae,sessile,aggregated,Gracilaria spp.,corticated_macrophytes,CM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
GYSP,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Gymnogongrus,algae,sessile,solitary,Gymnogongrus spp.,corticated_macrophytes,CM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
HAGL,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Halosaccion,algae,sessile,aggregated,Halosaccion glandiforme,cushion,C,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
IR,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,algae,sessile,solitary,Mazzaella spp.,leathery_macrophyte,LM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
LAFA,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,algae,sessile,solitary,Laminaria farlowii,leathery_macrophyte,LM,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
LI,Rhodophyta,Florideophyceae,Corallinales,Lithophyllaceae,Lithothrix,algae,sessile,solitary,Lithothrix aspergillum,articulated_calcareous,AC,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
LS,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,algae,sessile,aggregated,Laurencia spp.,corticated_macrophytes,CM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
LX,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Osmundea,algae,sessile,aggregated,Osmundea spectabilis,corticated_foliose,CF,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
MAPY,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,algae,sessile,solitary,Macrocystis pyrifera,leathery_macrophyte,LM,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
Nandersoniana,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Nienburgia,algae,sessile,aggregated,Nienburgia andersoniana,corticated_foliose,CF,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
NEO,Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,Agardhiella,algae,sessile,solitary,Agardhiella subulata,corticated_macrophytes,CM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
PHSE,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Phycodrys,algae,sessile,solitary,Phycodrys setchellii,foliose,F,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
PL,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Prionitis,algae,sessile,solitary,Prionitis lanceolata,corticated_macrophytes,CM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
POLA,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Polyneura,algae,sessile,aggregated,Polyneura latissima,corticated_foliose,CF,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
PRSP,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Prionitis,algae,sessile,solitary,Prionitis linearis,corticated_macrophytes,CM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
PTCA,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Pterygophora,algae,sessile,solitary,Pterygophora californica,leathery_macrophyte,LM,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
R,Rhodophyta,Florideophyceae,Rhodymeniales,Rhodymeniaceae,Rhodymenia,algae,sessile,aggregated,Rhodymenia californica,corticated_macrophytes,CM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
RAT,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,-99999,algae,sessile,aggregated,small Ceramiaceae spp.,unc_red,UR,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
SAFU,Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,Sarcodiotheca,algae,sessile,aggregated,Sarcodiotheca furcata,corticated_macrophytes,CM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
SAHO,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,algae,sessile,solitary,Sargassum horneri,leathery_macrophyte,LM,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
SAMU,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,algae,sessile,solitary,Sargassum muticum,leathery_macrophyte,LM,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
SCCA,Rhodophyta,Florideophyceae,Nemaliales,Scinaiaceae,Scinaia,algae,sessile,aggregated,Scinaia confusa,corticated_macrophytes,CM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
SELO,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Scytosiphon,algae,sessile,aggregated,Scytosiphon lomentaria,corticated_macrophytes,CM,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
STIN,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Stenogramma,algae,sessile,solitary,Stenogramma californicum,corticated_macrophytes,CM,red,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
TALE,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Taonia,algae,sessile,aggregated,Taonia lennebackerae,corticated_foliose,CF,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
UBB,Ochrophyta,Phaeophyceae,-99999,-99999,-99999,algae,sessile,solitary,Unidentifiable small brown blade,unc_brown,UB,brown,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
UEC,Rhodophyta,Florideophyceae,Corallinales,Lithophyllaceae,Amphiroa,algae,sessile,aggregated,Amphiroa beauvoisii,articulated_calcareous,AC,red,turf,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,
UV,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,algae,sessile,solitary,Ulva spp.,foliose,F,green,,,,,,,,,,,,,,,Steneck and Dethier 1994,,,,,,,,,,,,,