specimen_ID,subsample_ID,length,width,...5
20210621-MOHK-001,20210621-MOHK-001-A,32.8,NA,
20210621-MOHK-002,20210621-MOHK-002-A,36.2,6.4,
20210621-MOHK-003,20210621-MOHK-003-A,13.1,0.1,
20210621-MOHK-004,20210621-MOHK-004-A,15.4,2.8,
20210621-MOHK-005,20210621-MOHK-005-A,13.4,1.1,
20210621-MOHK-005,20210621-MOHK-005-B,14.1,0.9,
20210621-MOHK-005,20210621-MOHK-005-C,21.6,1.2,
20210621-MOHK-006,20210621-MOHK-006-A,11.4,2.3,
20210621-MOHK-007,20210621-MOHK-007-A,21.9,7.4,
20210621-MOHK-008,20210621-MOHK-008-A,16.1,4.6,
20210621-MOHK-009,20210621-MOHK-009-A,27.9,10.8,
20210621-MOHK-010,20210621-MOHK-010-A,23.7,4.8,
20210621-MOHK-010,20210621-MOHK-010-B,22.4,8.9,
20210621-MOHK-011,20210621-MOHK-011-A,NA,NA,
20210621-MOHK-011,20210621-MOHK-011-B,NA,NA,
20210621-MOHK-012,20210621-MOHK-012-A,NA,NA,
20210621-MOHK-012,20210621-MOHK-012-B,NA,NA,
20210621-MOHK-013,20210621-MOHK-013-A,NA,NA,
20210621-MOHK-013,20210621-MOHK-013-B,NA,NA,
20210621-MOHK-014,20210621-MOHK-014-A,NA,NA,
20210621-MOHK-014,20210621-MOHK-014-B,NA,NA,
20210621-MOHK-015,20210621-MOHK-015-A,NA,NA,
20210621-MOHK-015,20210621-MOHK-015-B,NA,NA,
20210621-MOHK-016,20210621-MOHK-016-A,NA,NA,
20210621-MOHK-016,20210621-MOHK-016-B,NA,NA,
20210621-MOHK-017,20210621-MOHK-017-A,NA,NA,
20210621-MOHK-017,20210621-MOHK-017-B,NA,NA,
20210621-MOHK-018,20210621-MOHK-018-A,NA,NA,
20210621-MOHK-018,20210621-MOHK-018-B,NA,NA,
20210621-MOHK-019,20210621-MOHK-019-A,NA,NA,
20210621-MOHK-019,20210621-MOHK-019-B,NA,NA,
20210621-MOHK-020,20210621-MOHK-020-A,NA,NA,
20210621-MOHK-020,20210621-MOHK-020-B,NA,NA,
20210621-MOHK-021,20210621-MOHK-021-A,19.5,0.1,
20210621-MOHK-022,20210621-MOHK-022-A,16.4,6.3,
20210621-MOHK-023,20210621-MOHK-023-A,12.8,0.5,
20210623-CAPT-001,,NA,NA,
20210623-CAPT-002,,NA,NA,
20210623-CAPT-003,,NA,NA,
20210623-CAPT-004,,NA,NA,
20210623-CAPT-005,,NA,NA,
20210623-CAPT-006,,NA,NA,
20210623-CAPT-007,,NA,NA,
20210623-CAPT-008,,NA,NA,
20210623-CAPT-009,,NA,NA,
20210623-CAPT-010,,NA,NA,
20210630-MOHK-001,20210630-MOHK-001-A,81.8,9.6,
20210630-MOHK-001,20210630-MOHK-001-B,9.2,NA,
20210630-MOHK-001,20210630-MOHK-001-C,NA,3.4,
20210630-MOHK-002,20210630-MOHK-002-A,26.8,8.5,
20210630-MOHK-002,20210630-MOHK-002-B,7.9,NA,
20210630-MOHK-002,20210630-MOHK-002-C,NA,2,
20210630-MOHK-003,20210630-MOHK-003-A,33.5,6.2,
20210630-MOHK-003,20210630-MOHK-003-B,9,NA,
20210630-MOHK-003,20210630-MOHK-003-C,NA,6,
20210630-MOHK-004,20210630-MOHK-004-A,59,10.8,
20210630-MOHK-004,20210630-MOHK-004-B,9.3,NA,
20210630-MOHK-004,20210630-MOHK-004-C,NA,3,
20210630-MOHK-005,20210630-MOHK-005-A,88.3,13.2,
20210630-MOHK-005,20210630-MOHK-005-B,9.6,NA,
20210630-MOHK-005,20210630-MOHK-005-C,NA,4.8,
20210630-MOHK-006,20210630-MOHK-006-A,48.9,12.1,
20210630-MOHK-006,20210630-MOHK-006-B,13.9,NA,
20210630-MOHK-006,20210630-MOHK-006-C,NA,5.8,
20210630-MOHK-007,20210630-MOHK-007-A,59,13.3,
20210630-MOHK-007,20210630-MOHK-007-B,12,NA,
20210630-MOHK-007,20210630-MOHK-007-C,NA,5.8,
20210630-MOHK-008,20210630-MOHK-008-A,50.5,8.6,
20210630-MOHK-008,20210630-MOHK-008-B,8.1,NA,
20210630-MOHK-008,20210630-MOHK-008-C,NA,3.6,
20210630-MOHK-009,20210630-MOHK-009-A,35.5,9.1,
20210630-MOHK-009,20210630-MOHK-009-B,9.5,NA,
20210630-MOHK-009,20210630-MOHK-009-C,NA,3.6,
20210630-MOHK-010,20210630-MOHK-010-A,33.3,8.6,
20210630-MOHK-010,20210630-MOHK-010-B,9.1,NA,
20210630-MOHK-010,20210630-MOHK-010-C,NA,4.2,
20210630-MOHK-011,20210630-MOHK-011-A,19.1,7.9,
20210630-MOHK-011,20210630-MOHK-011-B,2.5,NA,
20210630-MOHK-011,20210630-MOHK-011-C,NA,1.4,
20210630-MOHK-012,20210630-MOHK-012-A,90.4,13,
20210630-MOHK-012,20210630-MOHK-012-B,9,NA,
20210630-MOHK-012,20210630-MOHK-012-C,NA,5.1,
20210630-MOHK-013,20210630-MOHK-013-A,86.2,13.9,
20210630-MOHK-013,20210630-MOHK-013-B,3.2,NA,
20210630-MOHK-013,20210630-MOHK-013-C,NA,4.2,
20210630-MOHK-014,20210630-MOHK-014-A,97.3,18.3,
20210630-MOHK-014,20210630-MOHK-014-B,6.2,NA,
20210630-MOHK-014,20210630-MOHK-014-C,NA,6.9,
20210630-MOHK-015,20210630-MOHK-015-A,57.3,13.2,
20210630-MOHK-015,20210630-MOHK-015-B,4,NA,
20210630-MOHK-015,20210630-MOHK-015-C,NA,5.4,
20210630-MOHK-016,20210630-MOHK-016-A,117,15.9,
20210630-MOHK-016,20210630-MOHK-016-B,5.4,NA,
20210630-MOHK-016,20210630-MOHK-016-C,NA,5.1,
20210630-MOHK-017,20210630-MOHK-017-A,102,14.5,
20210630-MOHK-017,20210630-MOHK-017-B,8.1,NA,
20210630-MOHK-017,20210630-MOHK-017-C,NA,7.2,
20210630-MOHK-018,20210630-MOHK-018-A,49.6,9.5,
20210630-MOHK-018,20210630-MOHK-018-B,6.7,NA,
20210630-MOHK-019,20210630-MOHK-019-A,78.8,16.7,
20210630-MOHK-019,20210630-MOHK-019-B,3.6,NA,
20210630-MOHK-020,20210630-MOHK-020-A,49.7,12.2,
20210630-MOHK-020,20210630-MOHK-020-B,3.6,NA,
20210630-MOHK-021,20210630-MOHK-021-A,39.8,10.5,
20210630-MOHK-021,20210630-MOHK-021-B,1.8,NA,
20210630-MOHK-022,20210630-MOHK-022-A,16,13,
20210630-MOHK-023,20210630-MOHK-023-A,9.5,1.4,
20210630-MOHK-024,20210630-MOHK-024-A,14.6,2.2,
20210630-MOHK-024,20210630-MOHK-024-B,9.2,1.4,
20210630-MOHK-025,20210630-MOHK-025-A,9.8,1.5,
20210630-MOHK-026,20210630-MOHK-026-A,12.8,1.8,
20210630-MOHK-027,20210630-MOHK-027-A,14.4,1.9,
20210630-MOHK-028,20210630-MOHK-028-A,36.8,10.8,
20210630-MOHK-028,20210630-MOHK-028-B,8.6,NA,
20210630-MOHK-028,20210630-MOHK-028-C,NA,8.3,
20210630-MOHK-029,20210630-MOHK-029-A,19.2,10.9,
20210630-MOHK-029,20210630-MOHK-029-B,13.9,NA,
20210630-MOHK-029,20210630-MOHK-029-C,NA,3.9,
20210630-MOHK-030,20210630-MOHK-030-A,28.7,8.2,
20210630-MOHK-030,20210630-MOHK-030-B,9.5,NA,
20210630-MOHK-030,20210630-MOHK-030-C,NA,3.8,
20210630-MOHK-031,20210630-MOHK-031-A,13.6,6.7,
20210630-MOHK-031,20210630-MOHK-031-B,2.6,NA,
20210630-MOHK-031,20210630-MOHK-031-C,NA,1.6,
20210630-MOHK-032,20210630-MOHK-032-A,19.7,7.7,
20210630-MOHK-033,20210630-MOHK-033-A,17.2,4.5,
20210630-MOHK-034,20210630-MOHK-034-A,41.3,9.6,
20210630-MOHK-035,20210630-MOHK-035-A,30.3,8.4,
20210630-MOHK-035,20210630-MOHK-035-B,11.2,NA,
20210630-MOHK-035,20210630-MOHK-035-C,NA,2.9,
20210630-MOHK-036,20210630-MOHK-036-A,47.8,10.9,
20210630-MOHK-036,20210630-MOHK-036-B,9.8,NA,
20210630-MOHK-036,20210630-MOHK-036-C,NA,3.8,
20210630-MOHK-037,20210630-MOHK-037-A,34.9,9,
20210630-MOHK-037,20210630-MOHK-037-B,9.2,NA,
20210630-MOHK-037,20210630-MOHK-037-C,NA,4.6,
20210630-MOHK-038,20210630-MOHK-038-A,49.9,10.2,
20210630-MOHK-038,20210630-MOHK-038-B,10.8,NA,
20210630-MOHK-038,20210630-MOHK-038-C,NA,5.5,
20210630-MOHK-039,20210630-MOHK-039-A,20.9,9.2,
20210630-MOHK-039,20210630-MOHK-039-B,8,NA,
20210630-MOHK-039,20210630-MOHK-039-C,NA,2.5,
20210630-MOHK-040,20210630-MOHK-040-A,29.4,8,
20210630-MOHK-040,20210630-MOHK-040-B,5.5,NA,
20210630-MOHK-040,20210630-MOHK-040-C,NA,4.1,
20210630-MOHK-041,20210630-MOHK-041-A,13.6,0.5,
20210630-MOHK-042,20210630-MOHK-042-A,6,2.3,
20210630-MOHK-043,20210630-MOHK-043-A,6.4,1.8,
20210630-MOHK-044,20210630-MOHK-044-A,5.5,1.6,
20210630-MOHK-045,20210630-MOHK-045-A,7.8,2.2,
20210630-MOHK-046,20210630-MOHK-046-A,11.9,0.1,
20210630-MOHK-047,20210630-MOHK-047-A,33.9,12.1,
20210630-MOHK-047,20210630-MOHK-047-B,10.1,NA,
20210630-MOHK-047,20210630-MOHK-047-C,NA,2.9,
20210709-MOHK-001,20210709-MOHK-001-A,29.9,10.6,
20210709-MOHK-002,20210709-MOHK-002-A,19.3,4.2,
20210709-MOHK-003,20210709-MOHK-003-A,30.7,11.5,
20210709-MOHK-004,20210709-MOHK-004-A,7.9,3.3,
20210709-MOHK-004,20210709-MOHK-004-B,0.9,0.1,
20210709-MOHK-004,20210709-MOHK-004-C,NA,0.7,
20210709-MOHK-005,20210709-MOHK-005-A,17,4.3,
20210709-MOHK-005,20210709-MOHK-005-B,3.1,0.2,
20210709-MOHK-005,20210709-MOHK-005-C,NA,0.9,
20210709-MOHK-006,20210709-MOHK-006-A,32.8,6.1,
20210709-MOHK-006,20210709-MOHK-006-B,8.4,0.35,
20210709-MOHK-006,20210709-MOHK-006-C,NA,2.2,
20210709-MOHK-007,20210709-MOHK-007-A,14.4,5.1,
20210709-MOHK-007,20210709-MOHK-007-B,3.2,0.2,
20210709-MOHK-007,20210709-MOHK-007-C,NA,1,
20210709-MOHK-008,20210709-MOHK-008-A,15.1,6.1,
20210709-MOHK-008,20210709-MOHK-008-B,1.5,0.15,
20210709-MOHK-008,20210709-MOHK-008-C,NA,2.8,
20210709-MOHK-009,20210709-MOHK-009-A,12.3,0.1,
20210709-MOHK-010,20210709-MOHK-010-A,14.2,4.3,
20210709-MOHK-010,20210709-MOHK-010-B,3,0.2,
20210709-MOHK-010,20210709-MOHK-010-C,NA,1.3,
20210719-IVEE-001,20210719-IVEE-001-A,6.1,2.1,
20210719-IVEE-001,20210719-IVEE-001-B,0.8,0.1,
20210719-IVEE-002,20210719-IVEE-002-A,6.7,1.7,
20210719-IVEE-002,20210719-IVEE-002-B,1.3,0.1,
20210719-IVEE-003,20210719-IVEE-003-A,7.8,2.4,
20210719-IVEE-003,20210719-IVEE-003-B,0.3,0.1,
20210719-IVEE-003,20210719-IVEE-003-C,NA,5.3,
20210719-IVEE-004,20210719-IVEE-004-A,13,1,
20210719-IVEE-005,20210719-IVEE-005-A,9.1,2.2,
20210719-IVEE-006,20210719-IVEE-006-A,8.8,2.1,
20210719-IVEE-007,20210719-IVEE-007-A,16.7,1.2,
20210719-IVEE-008,20210719-IVEE-008-A,9.3,1.2,
20210719-IVEE-009,20210719-IVEE-009-A,4.9,0.4,
20210719-IVEE-010,20210719-IVEE-010-A,3.9,0.3,
20210719-IVEE-011,20210719-IVEE-011-A,10,7.5,
20210719-IVEE-012,20210719-IVEE-012-A,17.5,4.7,
20210719-IVEE-013,20210719-IVEE-013-A,27.5,5.3,
20210719-IVEE-014,20210719-IVEE-014-A,32,3.5,
20210719-IVEE-015,20210719-IVEE-015-A,18.6,2.9,
20210719-IVEE-016,20210719-IVEE-016-A,21.7,5.2,
20210719-IVEE-017,20210719-IVEE-017-A,27.3,9.5,
20210719-IVEE-018,20210719-IVEE-018-A,28.4,3.9,
20210719-IVEE-019,20210719-IVEE-019-A,15.3,4,
20210719-IVEE-020,20210719-IVEE-020-A,5.4,1.3,
20210719-IVEE-021,20210719-IVEE-021-A,11.9,2.5,
20210719-IVEE-022,20210719-IVEE-022-A,10.2,2.1,
20210719-IVEE-023,20210719-IVEE-023-A,7.5,1,
20210719-IVEE-024,20210719-IVEE-024-A,8.6,2.4,
20210719-IVEE-025,20210719-IVEE-025-A,27.3,0.5,
20210719-IVEE-026,20210719-IVEE-026-A,19.1,0.2,
20210719-IVEE-026,20210719-IVEE-026-B,25,0.5,
20210719-IVEE-026,20210719-IVEE-026-C,27.4,0.3,
20210719-IVEE-026,20210719-IVEE-026-D,35.5,0.5,
20210720-CARP-001,20210720-CARP-001-A,73.3,4.6,
20210720-CARP-001,20210720-CARP-001-B,21.2,0.7,
20210720-CARP-001,20210720-CARP-001-C,NA,8.4,
20210720-CARP-002,20210720-CARP-002-A,60.6,10,
20210720-CARP-002,20210720-CARP-002-B,28.6,3.8,
20210720-CARP-002,20210720-CARP-002-C,29.9,4.6,
20210720-CARP-002,20210720-CARP-002-D,23.3,3.8,
20210720-CARP-002,20210720-CARP-002-E,23.5,0.8,
20210720-CARP-002,20210720-CARP-002-F,NA,6.4,
20210721-BULL-001,20210721-BULL-001-A,27.2,15.2,
20210721-BULL-002,20210721-BULL-002-A,33.5,4,
20210721-BULL-003,20210721-BULL-003-A,23.2,6.3,
20210721-BULL-004,20210721-BULL-004-A,105.8,10,
20210721-BULL-004,20210721-BULL-004-B,22.8,0.6,
20210721-BULL-004,20210721-BULL-004-C,NA,12.9,
20210721-BULL-005,20210721-BULL-005-A,161.5,10.3,
20210721-BULL-005,20210721-BULL-005-B,26.5,0.8,
20210721-BULL-005,20210721-BULL-005-C,NA,9.7,
20210721-BULL-006,20210721-BULL-006-A,36.6,7.8,
20210721-BULL-006,20210721-BULL-006-B,14,0.5,
20210721-BULL-006,20210721-BULL-006-C,NA,4.2,
20210721-BULL-007,20210721-BULL-007-A,17.3,9,
20210721-BULL-007,20210721-BULL-007-B,16.6,0.6,
20210721-BULL-007,20210721-BULL-007-C,NA,5,
20210721-BULL-008,20210721-BULL-008-A,25.5,5.5,
20210721-BULL-009,20210721-BULL-009-A,16.5,8.5,
20210721-BULL-010,20210721-BULL-010-A,29.3,3.5,
20210721-BULL-011,20210721-BULL-011-A,27.4,4.7,
20210721-BULL-012,20210721-BULL-012-A,32.2,4,
20210721-BULL-013,20210721-BULL-013-A,38.6,5.1,
20210721-BULL-014,20210721-BULL-014-A,27.3,8.9,
20210721-BULL-015,20210721-BULL-015-A,59,19.9,
20210721-BULL-016,20210721-BULL-016-A,10.3,6.2,
20210721-BULL-017,20210721-BULL-017-A,11.5,5.2,
20210721-BULL-018,20210721-BULL-018-A,9,4.3,
20210721-BULL-019,20210721-BULL-019-A,26,6.9,
20210721-BULL-020,20210721-BULL-020-A,35.4,5.2,
20210721-BULL-021,20210721-BULL-021-A,26.6,2.8,
20210721-BULL-022,20210721-BULL-022-A,22.5,1.8,
20210721-BULL-023,20210721-BULL-023-A,21.9,2.2,
20210721-BULL-024,20210721-BULL-024-A,42.5,6.4,
20210721-BULL-025,20210721-BULL-025-A,32.2,5.7,
20210721-BULL-026,20210721-BULL-026-A,38.3,6.7,
20210721-BULL-027,20210721-BULL-027-A,21.6,5.5,
20210721-BULL-028,20210721-BULL-028-A,22,5,
20210721-BULL-029,20210721-BULL-029-A,34.4,6.6,
20210722-AQUE-001,20210722-AQUE-001-A,19.4,4.6,
20210722-AQUE-001,20210722-AQUE-001-B,4.6,0.3,
20210722-AQUE-001,20210722-AQUE-001-C,NA,1.4,
20210722-AQUE-002,20210722-AQUE-002-A,40.6,8.9,
20210722-AQUE-002,20210722-AQUE-002-B,12.7,0.4,
20210722-AQUE-002,20210722-AQUE-002-C,NA,2.7,
20210722-AQUE-003,20210722-AQUE-003-A,18.6,5.9,
20210722-AQUE-003,20210722-AQUE-003-B,9.2,0.3,
20210722-AQUE-003,20210722-AQUE-003-C,NA,2.5,
20210722-AQUE-004,20210722-AQUE-004-A,33,4.9,
20210722-AQUE-004,20210722-AQUE-004-B,18.3,2.8,
20210722-AQUE-004,20210722-AQUE-004-C,24,4.1,
20210722-AQUE-004,20210722-AQUE-004-D,37.1,4.9,
20210722-AQUE-004,20210722-AQUE-004-E,19.3,0.9,
20210722-AQUE-004,20210722-AQUE-004-F,NA,11.1,
20210722-AQUE-005,20210722-AQUE-005-A,33.2,4.4,
20210722-AQUE-005,20210722-AQUE-005-B,33.6,4.8,
20210722-AQUE-005,20210722-AQUE-005-C,29.4,4.1,
20210722-AQUE-005,20210722-AQUE-005-D,20.7,0.8,
20210722-AQUE-005,20210722-AQUE-005-E,NA,11.8,
20220405-MOHK-001,20220405-MOHK-001-A,89.5,7.5,
20220405-MOHK-001,20220405-MOHK-001-B,135.2,11.2,
20220405-MOHK-001,20220405-MOHK-001-C,68,7.9,
20220405-MOHK-001,20220405-MOHK-001-D,30.2,6.6,
20220405-MOHK-001,20220405-MOHK-001-E,27.8,5.6,
20220405-MOHK-001,20220405-MOHK-001-F,27.8,6.4,
20220405-MOHK-001,20220405-MOHK-001-G,14.7,3.4,
20220405-MOHK-001,20220405-MOHK-001-H,20.5,1.3,
20220405-MOHK-001,20220405-MOHK-001-I,NA,9,
20220405-MOHK-002,20220405-MOHK-002-A,52,7.5,
20220405-MOHK-002,20220405-MOHK-002-B,99.9,11.8,
20220405-MOHK-002,20220405-MOHK-002-C,39.5,8,
20220405-MOHK-002,20220405-MOHK-002-D,8.5,1.2,
20220405-MOHK-002,20220405-MOHK-002-E,NA,11,
20220405-MOHK-003,20220405-MOHK-003-A,47,5.1,
20220405-MOHK-003,20220405-MOHK-003-B,44.2,6.5,
20220405-MOHK-003,20220405-MOHK-003-C,75,5.8,
20220405-MOHK-003,20220405-MOHK-003-D,61.7,5.7,
20220405-MOHK-003,20220405-MOHK-003-E,48.8,6.8,
20220405-MOHK-003,20220405-MOHK-003-F,64,6,
20220405-MOHK-003,20220405-MOHK-003-G,42,4.8,
20220405-MOHK-003,20220405-MOHK-003-H,13.7,3.1,
20220405-MOHK-003,20220405-MOHK-003-I,7.4,11.5,
20220405-MOHK-003,20220405-MOHK-003-J,25.5,1.8,
20220405-MOHK-003,20220405-MOHK-003-K,NA,6.8,
20220407-AQUE-001,20220407-AQUE-001-A,17.5,4.4,
20220407-AQUE-001,20220407-AQUE-001-B,35.4,6.2,
20220407-AQUE-001,20220407-AQUE-001-C,23.7,5.2,
20220407-AQUE-001,20220407-AQUE-001-D,55.8,5.7,
20220407-AQUE-001,20220407-AQUE-001-E,68.7,6.4,
20220407-AQUE-001,20220407-AQUE-001-F,67.5,12,
20220407-AQUE-001,20220407-AQUE-001-G,64,6.9,
20220407-AQUE-001,20220407-AQUE-001-H,67.4,7,
20220407-AQUE-001,20220407-AQUE-001-I,34,6.2,
20220407-AQUE-001,20220407-AQUE-001-J,23.5,3.6,
20220407-AQUE-001,20220407-AQUE-001-K,31.3,5.3,
20220407-AQUE-001,20220407-AQUE-001-L,22,5.5,
20220407-AQUE-001,20220407-AQUE-001-M,26,0.7,
20220407-AQUE-002,20220407-AQUE-002-A,14.5,5.1,
20220407-AQUE-002,20220407-AQUE-002-B,19.3,5.8,
20220407-AQUE-002,20220407-AQUE-002-C,34.9,6.4,
20220407-AQUE-002,20220407-AQUE-002-D,65.3,8.5,
20220407-AQUE-002,20220407-AQUE-002-E,70.5,7.3,
20220407-AQUE-002,20220407-AQUE-002-F,25.4,4.8,
20220407-AQUE-002,20220407-AQUE-002-G,100.2,11.1,
20220407-AQUE-002,20220407-AQUE-002-H,78,6.5,
20220407-AQUE-002,20220407-AQUE-002-I,37.1,5.5,
20220407-AQUE-002,20220407-AQUE-002-J,24.5,5.1,
20220407-AQUE-002,20220407-AQUE-002-K,NA,NA,
20220407-AQUE-002,20220407-AQUE-002-L,32.3,0.8,
20220407-AQUE-003,20220407-AQUE-003-A,30.8,5.8,
20220407-AQUE-003,20220407-AQUE-003-B,29.2,5.9,
20220407-AQUE-003,20220407-AQUE-003-C,45.7,5.5,
20220407-AQUE-003,20220407-AQUE-003-D,83.2,5.8,
20220407-AQUE-003,20220407-AQUE-003-E,82.5,6.1,
20220407-AQUE-003,20220407-AQUE-003-F,39.2,6.5,
20220407-AQUE-003,20220407-AQUE-003-G,33.2,4.9,
20220407-AQUE-003,20220407-AQUE-003-H,171,12,
20220407-AQUE-003,20220407-AQUE-003-I,42.7,5.5,
20220407-AQUE-003,20220407-AQUE-003-J,91.5,6.4,
20220407-AQUE-003,20220407-AQUE-003-K,87,6.2,
20220407-AQUE-003,20220407-AQUE-003-L,71.5,5.6,
20220407-AQUE-003,20220407-AQUE-003-M,46,7,
20220407-AQUE-003,20220407-AQUE-003-N,NA,NA,
20220407-AQUE-003,20220407-AQUE-003-O,38.8,0.9,
20220407-AQUE-004,20220407-AQUE-004-A,21.7,5.1,
20220407-AQUE-004,20220407-AQUE-004-B,39.7,7.1,
20220407-AQUE-004,20220407-AQUE-004-C,75.6,6.8,
20220407-AQUE-004,20220407-AQUE-004-D,27.2,5.3,
20220407-AQUE-004,20220407-AQUE-004-E,119.3,10.2,
20220407-AQUE-004,20220407-AQUE-004-F,31.1,5.2,
20220407-AQUE-004,20220407-AQUE-004-G,47.6,6.5,
20220407-AQUE-004,20220407-AQUE-004-H,25.1,6,
20220407-AQUE-004,20220407-AQUE-004-I,26.1,0.6,
20220407-AQUE-004,20220407-AQUE-004-J,NA,7.2,
20220407-AQUE-005,20220407-AQUE-005-A,9.1,6.4,
20220407-AQUE-005,20220407-AQUE-005-B,23.5,5.6,
20220407-AQUE-005,20220407-AQUE-005-C,36.3,6.3,
20220407-AQUE-005,20220407-AQUE-005-D,54.8,6.4,
20220407-AQUE-005,20220407-AQUE-005-E,20.2,5.6,
20220407-AQUE-005,20220407-AQUE-005-F,21.5,73,
20220407-AQUE-005,20220407-AQUE-005-G,96.2,10.2,
20220407-AQUE-005,20220407-AQUE-005-H,33.1,6.5,
20220407-AQUE-005,20220407-AQUE-005-I,59.8,6.5,
20220407-AQUE-005,20220407-AQUE-005-J,39.8,8.2,
20220407-AQUE-005,20220407-AQUE-005-K,23.4,3.9,
20220407-AQUE-005,20220407-AQUE-005-L,24.9,6.5,
20220407-AQUE-005,20220407-AQUE-005-M,20.5,6.1,
20220407-AQUE-005,20220407-AQUE-005-N,NA,NA,
20220407-AQUE-005,20220407-AQUE-005-O,26.1,0.7,
20220407-AQUE-005,20220407-AQUE-005-P,NA,7.4,
20220407-AQUE-006,20220407-AQUE-006-A,46.6,8,
20220407-AQUE-006,20220407-AQUE-006-B,19.1,6.1,
20220407-AQUE-006,20220407-AQUE-006-C,33.5,8,
20220407-AQUE-006,20220407-AQUE-006-D,68.5,8.2,
20220407-AQUE-006,20220407-AQUE-006-E,27.3,5.6,
20220407-AQUE-006,20220407-AQUE-006-F,123,10.5,
20220407-AQUE-006,20220407-AQUE-006-G,6,5.2,
20220407-AQUE-006,20220407-AQUE-006-H,52.1,7.6,
20220407-AQUE-006,20220407-AQUE-006-I,42,5.6,
20220407-AQUE-006,20220407-AQUE-006-J,53.6,7.6,
20220407-AQUE-006,20220407-AQUE-006-K,NA,NA,
20220407-AQUE-006,20220407-AQUE-006-L,26.4,0.7,
20220407-AQUE-006,20220407-AQUE-006-M,NA,7,
20220407-AQUE-007,20220407-AQUE-007-A,38.6,7.5,
20220407-AQUE-007,20220407-AQUE-007-B,14.4,4.6,
20220407-AQUE-007,20220407-AQUE-007-C,13.7,4.2,
20220407-AQUE-007,20220407-AQUE-007-D,50.4,6.2,
20220407-AQUE-007,20220407-AQUE-007-E,43.8,6.5,
20220407-AQUE-007,20220407-AQUE-007-F,14.9,3.3,
20220407-AQUE-007,20220407-AQUE-007-G,64.7,11.7,
20220407-AQUE-007,20220407-AQUE-007-H,25,5.2,
20220407-AQUE-007,20220407-AQUE-007-I,44.4,6.3,
20220407-AQUE-007,20220407-AQUE-007-J,51,7.4,
