specimen_ID,toughness_01,toughness_02,toughness_03,toughness_04,toughness_05,toughness_06,toughness_07,toughness_08,toughness_09,toughness_10
20210630-MOHK-001,2.3,6.7,7,5.5,7.6,7,NA,NA,NA,NA
20210630-MOHK-002,6.7,2.6,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-003,7.3,4.5,5,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-004,8.1,9.6,8.6,9.3,6.4,9,NA,NA,NA,NA
20210630-MOHK-005,7.6,9.7,8.9,9.6,8.1,7,12,12.5,NA,NA
20210630-MOHK-006,9.6,6.9,7.6,11.5,9.5,7.4,NA,NA,NA,NA
20210630-MOHK-007,5,7.4,10.4,8,8.2,9.8,8.2,9.6,7.9,11.1
20210630-MOHK-008,5,7.2,12.3,7.4,7.6,9.1,11.3,11.4,9.7,NA
20210630-MOHK-009,9.8,9.8,8.4,7.5,10.5,7.6,5.4,NA,NA,NA
20210630-MOHK-010,13.5,7,8.3,9.6,8.1,7.1,9.4,7,7.8,7.4
20210630-MOHK-011,5.2,6.8,2.3,3,3.9,2.5,NA,NA,NA,NA
20210630-MOHK-012,11.3,10,10.4,11,12.1,11.4,12.4,12.3,8,13.9
20210630-MOHK-013,12.6,15.3,7.3,8.2,10.3,8.4,12,11.8,9.3,6.4
20210630-MOHK-014,9.6,9.7,7.3,8.9,6.8,6,7.2,8.4,8.3,9.4
20210630-MOHK-015,11,13.5,7.6,11,8.6,8.6,8.4,8.6,8.7,4.9
20210630-MOHK-016,10.5,9.4,10.4,6.1,6,7.2,7.6,7.4,9.9,8.1
20210630-MOHK-017,9.2,10.2,10.3,7.6,9,7.2,9.4,10.5,9.9,12.2
20210630-MOHK-018,7.5,7.6,7.9,7.3,9.1,8,13.6,11,11.5,10
20210630-MOHK-019,11.1,11.2,7.1,6.8,7,6.1,11.8,10.7,6.9,7.3
20210630-MOHK-020,10.5,10,10,9.5,6.8,6.3,10,7.1,7.1,5.8
20210630-MOHK-021,10,11.3,11,7.9,7.6,7.4,3,8.9,NA,NA
20210630-MOHK-022,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-023,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-024A,1.9,5.5,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-024B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-028,5,4.1,7.4,5.1,5.1,5.2,4.1,NA,NA,NA
20210630-MOHK-029,10.6,10.1,7.6,7.3,7.9,7.4,7,7.5,9,7.8
20210630-MOHK-030,5.1,5.7,5.2,6.6,5.3,5,NA,NA,NA,NA
20210630-MOHK-031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-032,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-033,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-034,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-035,5,6.2,5.3,5.7,7.5,NA,NA,NA,NA,NA
20210630-MOHK-036,5.3,6,8.3,9.5,NA,NA,NA,NA,NA,NA
20210630-MOHK-037,5.5,4.7,5,5.6,NA,NA,NA,NA,NA,NA
20210630-MOHK-038,5,5.8,5,5,NA,NA,NA,NA,NA,NA
20210630-MOHK-039,7.3,7.6,7.1,6.1,NA,NA,NA,NA,NA,NA
20210630-MOHK-040,4.7,4.2,4.9,6.1,NA,NA,NA,NA,NA,NA
20210630-MOHK-041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210630-MOHK-047,6,9,6.6,5.6,NA,NA,NA,NA,NA,NA
20210709-MOHK-001,3.9,11.6,4.9,9.1,13,NA,NA,NA,NA,NA
20210709-MOHK-002,0.49,10.4,15,NA,NA,NA,NA,NA,NA,NA
20210709-MOHK-003,15,15,8.5,NA,NA,NA,NA,NA,NA,NA
20210709-MOHK-004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210709-MOHK-005,5.5,5.4,NA,NA,NA,NA,NA,NA,NA,NA
20210709-MOHK-006,9.1,6.5,NA,NA,NA,NA,NA,NA,NA,NA
20210709-MOHK-007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210709-MOHK-008,4.9,2.4,NA,NA,NA,NA,NA,NA,NA,NA
20210709-MOHK-009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210709-MOHK-010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-001,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-012,4.3,5.1,5.3,8.4,8.2,8.5,7.8,6.3,6.8,7.6
20210719-IVEE-013,5.9,4.5,6.7,4.5,NA,NA,NA,NA,NA,NA
20210719-IVEE-014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-015,6.7,6,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-017,8.5,9.8,5.6,9.3,9.3,6.1,5.9,6,8.1,7.3
20210719-IVEE-018,7.4,5.5,6.8,7.8,4.3,4,6.8,7,5,NA
20210719-IVEE-019,4.6,8.4,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719-IVEE-026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210720-CARP-001,5,5.3,5.6,5.9,4.1,8.1,6.1,4.1,4.4,4.1
20210720-CARP-002A,5.4,6,7.2,7.2,6.1,5.1,6.5,6.6,5.5,5.1
20210720-CARP-002B,4.7,5.9,6.9,NA,NA,NA,NA,NA,NA,NA
20210720-CARP-002C,6.9,6.2,5.4,4.9,5.4,5.7,NA,NA,NA,NA
20210720-CARP-002D,4.8,8,6.8,NA,NA,NA,NA,NA,NA,NA
